employee_id,email,gender,marital_status,number_of_dependents,education_level,health_plan,contract_type,probation_completed
EMP_00036,emp_00036@company.com,Male,Divorced,0,Masters,Standard,Temporary,True
EMP_00037,emp_00037@company.com,Male,Married,2,Bachelors,Standard,Permanent,True
EMP_00038,emp_00038@company.com,Male,Widowed,0,High School,Basic,Contractor,True
EMP_00039,emp_00039@company.com,Male,Widowed,4,Masters,Premium,Permanent,True
EMP_00040,emp_00040@company.com,Male,Single,0,Bachelors,Basic,Permanent,True
EMP_00041,emp_00041@company.com,Male,Widowed,2,Bachelors,Standard,Permanent,True
EMP_00042,emp_00042@company.com,Male,Single,0,PhD,Basic,Contractor,True
EMP_00043,emp_00043@company.com,Male,Single,2,High School,Standard,Contractor,True
EMP_00044,emp_00044@company.com,Female,Widowed,2,Bachelors,Premium,Permanent,True
EMP_00045,emp_00045@company.com,Female,Married,4,High School,Standard,Permanent,True
EMP_00046,emp_00046@company.com,Female,Single,2,Bachelors,Basic,Temporary,True
EMP_00047,emp_00047@company.com,Male,Divorced,0,Bachelors,Basic,Permanent,True
EMP_00048,emp_00048@company.com,Female,Divorced,0,Bachelors,Basic,Permanent,True
EMP_00049,emp_00049@company.com,Female,Married,4,Bachelors,Standard,Permanent,True
EMP_00050,emp_00050@company.com,Female,Divorced,1,Bachelors,Basic,Permanent,True
EMP_00051,emp_00051@company.com,Female,Married,3,Bachelors,Basic,Permanent,True
EMP_00052,emp_00052@company.com,Female,Single,2,Masters,Premium,Contractor,True
EMP_00053,emp_00053@company.com,Female,Single,1,Bachelors,Basic,Permanent,True
EMP_00054,emp_00054@company.com,Female,Single,1,PhD,Basic,Permanent,True
EMP_00055,emp_00055@company.com,Male,Widowed,1,Bachelors,Standard,Permanent,True
EMP_00056,emp_00056@company.com,Female,Divorced,2,High School,Standard,Contractor,True
EMP_00057,emp_00057@company.com,Male,Widowed,1,Masters,Standard,Permanent,True
EMP_00058,emp_00058@company.com,Female,Single,1,High School,Basic,Permanent,True
EMP_00059,emp_00059@company.com,Male,Widowed,1,High School,Basic,Temporary,True
EMP_00060,emp_00060@company.com,Female,Divorced,0,Bachelors,Basic,Permanent,True
EMP_00061,emp_00061@company.com,Male,Divorced,1,Masters,Standard,Permanent,True
EMP_00062,emp_00062@company.com,Male,Single,0,Bachelors,Standard,Permanent,True
EMP_00063,emp_00063@company.com,Male,Widowed,0,Bachelors,Basic,Contractor,True
EMP_00064,emp_00064@company.com,Male,Married,0,High School,Basic,Permanent,True
EMP_00065,emp_00065@company.com,Female,Widowed,0,Masters,Standard,Permanent,True
EMP_00066,emp_00066@company.com,Female,Single,0,Masters,Standard,Permanent,True
EMP_00067,emp_00067@company.com,Male,Widowed,1,Bachelors,Basic,Temporary,True
EMP_00068,emp_00068@company.com,Other,Single,0,High School,Premium,Permanent,True
EMP_00069,emp_00069@company.com,Male,Single,2,High School,Basic,Permanent,True
EMP_00070,emp_00070@company.com,Male,Divorced,0,High School,Standard,Permanent,True
EMP_00071,emp_00071@company.com,Male,Single,3,Bachelors,Basic,Permanent,True
EMP_00072,emp_00072@company.com,Female,Divorced,0,Masters,Basic,Permanent,True
EMP_00073,emp_00073@company.com,Female,Divorced,0,High School,Standard,Permanent,True
EMP_00074,emp_00074@company.com,Male,Divorced,0,Masters,Basic,Permanent,True
EMP_00075,emp_00075@company.com,Female,Single,0,High School,Standard,Permanent,True
EMP_00076,emp_00076@company.com,Female,Widowed,2,Bachelors,Basic,Permanent,True
EMP_00077,emp_00077@company.com,Male,Single,2,Bachelors,Premium,Permanent,True
EMP_00078,emp_00078@company.com,Male,Widowed,0,Masters,Basic,Permanent,True
EMP_00079,emp_00079@company.com,Male,Divorced,2,Bachelors,Basic,Permanent,True
EMP_00080,emp_00080@company.com,Male,Divorced,1,Bachelors,Basic,Permanent,True
EMP_00081,emp_00081@company.com,Female,Widowed,2,Bachelors,Basic,Contractor,True
EMP_00082,emp_00082@company.com,Female,Single,2,High School,Basic,Permanent,True
EMP_00083,emp_00083@company.com,Male,Widowed,0,Masters,Basic,Permanent,True
EMP_00084,emp_00084@company.com,Female,Single,2,High School,Standard,Permanent,True
EMP_00085,emp_00085@company.com,Male,Married,0,Bachelors,Basic,Permanent,True
EMP_00086,emp_00086@company.com,Female,Single,1,High School,Basic,Permanent,True
EMP_00087,emp_00087@company.com,Female,Single,0,Bachelors,Basic,Permanent,True
EMP_00088,emp_00088@company.com,Other,Divorced,0,Bachelors,Standard,Permanent,True
EMP_00089,emp_00089@company.com,Female,Divorced,0,Bachelors,Premium,Permanent,True
EMP_00090,emp_00090@company.com,Female,Single,0,Masters,Basic,Permanent,True
EMP_00091,emp_00091@company.com,Male,Married,0,High School,Basic,Temporary,True
EMP_00092,emp_00092@company.com,Male,Divorced,3,Masters,Basic,Contractor,True
EMP_00093,emp_00093@company.com,Female,Widowed,1,Masters,Basic,Permanent,True
EMP_00094,emp_00094@company.com,Male,Single,0,Masters,Standard,Permanent,True
EMP_00095,emp_00095@company.com,Female,Divorced,0,Bachelors,Basic,Permanent,True
EMP_00096,emp_00096@company.com,Male,Widowed,1,High School,Standard,Permanent,True
EMP_00097,emp_00097@company.com,Female,Divorced,0,High School,Standard,Permanent,True
EMP_00098,emp_00098@company.com,Female,Single,0,Bachelors,Standard,Permanent,True
EMP_00099,emp_00099@company.com,Female,Single,3,Bachelors,Premium,Permanent,True
EMP_00100,emp_00100@company.com,Male,Married,1,Bachelors,Premium,Permanent,True
EMP_00101,emp_00101@company.com,Female,Widowed,0,Bachelors,Basic,Contractor,True
EMP_00102,emp_00102@company.com,Female,Divorced,0,Bachelors,Basic,Permanent,True
EMP_00103,emp_00103@company.com,Female,Divorced,0,High School,Standard,Permanent,True
EMP_00104,emp_00104@company.com,Male,Married,0,Masters,Basic,Permanent,True
EMP_00105,emp_00105@company.com,Male,Divorced,2,Bachelors,Basic,Permanent,True
EMP_00106,emp_00106@company.com,Male,Single,0,Bachelors,Basic,Contractor,True
EMP_00107,emp_00107@company.com,Female,Divorced,1,Masters,Standard,Permanent,True
EMP_00108,emp_00108@company.com,Male,Single,0,Bachelors,Basic,Temporary,True
EMP_00109,emp_00109@company.com,Female,Widowed,0,Bachelors,Premium,Permanent,True
EMP_00110,emp_00110@company.com,Male,Widowed,1,Bachelors,Basic,Permanent,True
EMP_00111,emp_00111@company.com,Male,Divorced,3,Masters,Standard,Permanent,True
EMP_00112,emp_00112@company.com,Male,Single,1,Bachelors,Basic,Permanent,True
EMP_00113,emp_00113@company.com,Female,Single,1,Bachelors,Premium,Temporary,True
EMP_00114,emp_00114@company.com,Male,Divorced,1,High School,Standard,Permanent,True
EMP_00115,emp_00115@company.com,Male,Divorced,2,Masters,Standard,Permanent,True
EMP_00116,emp_00116@company.com,Male,Divorced,2,Bachelors,Basic,Permanent,True
EMP_00117,emp_00117@company.com,Male,Married,1,High School,Basic,Permanent,True
EMP_00118,emp_00118@company.com,Male,Divorced,0,Masters,Premium,Contractor,True
EMP_00119,emp_00119@company.com,Female,Widowed,3,Bachelors,Premium,Permanent,True
EMP_00120,emp_00120@company.com,Female,Single,2,Masters,Standard,Temporary,True
EMP_00121,emp_00121@company.com,Male,Single,0,Bachelors,Basic,Temporary,True
EMP_00122,emp_00122@company.com,Male,Divorced,1,High School,Basic,Temporary,True
EMP_00123,emp_00123@company.com,Male,Single,3,PhD,Premium,Temporary,True
EMP_00124,emp_00124@company.com,Male,Widowed,3,Masters,Standard,Permanent,True
EMP_00125,emp_00125@company.com,Female,Single,1,Bachelors,Standard,Temporary,True
EMP_00126,emp_00126@company.com,Female,Married,2,High School,Basic,Permanent,True
EMP_00127,emp_00127@company.com,Male,Widowed,1,Bachelors,Premium,Temporary,True
EMP_00128,emp_00128@company.com,Male,Divorced,1,Bachelors,Standard,Permanent,True
EMP_00129,emp_00129@company.com,Male,Married,1,Bachelors,Premium,Contractor,True
EMP_00130,emp_00130@company.com,Other,Widowed,1,High School,Standard,Permanent,True
EMP_00131,emp_00131@company.com,Male,Widowed,0,High School,Basic,Permanent,True
EMP_00132,emp_00132@company.com,Male,Divorced,1,Bachelors,Standard,Permanent,True
EMP_00133,emp_00133@company.com,Male,Divorced,1,High School,Basic,Permanent,True
EMP_00134,emp_00134@company.com,Male,Divorced,1,PhD,Premium,Permanent,True
EMP_00135,emp_00135@company.com,Male,Divorced,1,Bachelors,Premium,Permanent,True
EMP_00136,emp_00136@company.com,Female,Single,0,Bachelors,Basic,Temporary,True
EMP_00137,emp_00137@company.com,Male,Single,1,Bachelors,Basic,Permanent,True
EMP_00138,emp_00138@company.com,Female,Single,1,High School,Standard,Permanent,True
EMP_00139,emp_00139@company.com,Female,Married,0,High School,Standard,Contractor,True
EMP_00140,emp_00140@company.com,Female,Widowed,2,Bachelors,Basic,Permanent,True
EMP_00141,emp_00141@company.com,Female,Widowed,0,Bachelors,Standard,Permanent,True
EMP_00142,emp_00142@company.com,Male,Married,5,Bachelors,Basic,Permanent,True
EMP_00143,emp_00143@company.com,Female,Married,0,PhD,Standard,Temporary,True
EMP_00144,emp_00144@company.com,Male,Widowed,2,Bachelors,Standard,Permanent,True
EMP_00145,emp_00145@company.com,Male,Widowed,0,Bachelors,Premium,Permanent,True
EMP_00146,emp_00146@company.com,Male,Single,0,High School,Standard,Permanent,True
EMP_00147,emp_00147@company.com,Male,Married,0,Bachelors,Basic,Permanent,True
EMP_00148,emp_00148@company.com,Female,Married,1,Bachelors,Premium,Temporary,True
EMP_00149,emp_00149@company.com,Male,Single,1,Bachelors,Basic,Permanent,True
EMP_00150,emp_00150@company.com,Male,Married,1,High School,Basic,Permanent,True
EMP_00151,emp_00151@company.com,Female,Married,2,Bachelors,Premium,Permanent,True
EMP_00152,emp_00152@company.com,Female,Divorced,0,High School,Basic,Permanent,True
EMP_00153,emp_00153@company.com,Male,Divorced,1,Bachelors,Basic,Permanent,True
EMP_00154,emp_00154@company.com,Female,Divorced,1,Bachelors,Basic,Temporary,True
EMP_00155,emp_00155@company.com,Female,Single,0,High School,Premium,Permanent,True
EMP_00156,emp_00156@company.com,Female,Widowed,2,High School,Basic,Permanent,True
EMP_00157,emp_00157@company.com,Male,Widowed,0,Bachelors,Standard,Permanent,True
EMP_00158,emp_00158@company.com,Female,Divorced,3,Bachelors,Basic,Permanent,True
EMP_00159,emp_00159@company.com,Female,Widowed,0,Bachelors,Standard,Permanent,True
EMP_00160,emp_00160@company.com,Female,Divorced,0,Bachelors,Premium,Contractor,True
EMP_00161,emp_00161@company.com,Male,Married,0,Masters,Basic,Permanent,True
EMP_00162,emp_00162@company.com,Male,Divorced,1,Bachelors,Premium,Contractor,True
EMP_00163,emp_00163@company.com,Male,Widowed,2,Masters,Premium,Permanent,True
EMP_00164,emp_00164@company.com,Male,Widowed,1,High School,Basic,Permanent,True
EMP_00165,emp_00165@company.com,Female,Widowed,0,High School,Standard,Permanent,True
EMP_00166,emp_00166@company.com,Female,Widowed,1,Bachelors,Standard,Permanent,True
EMP_00167,emp_00167@company.com,Male,Divorced,0,PhD,Basic,Permanent,True
EMP_00168,emp_00168@company.com,Other,Widowed,1,Bachelors,Basic,Permanent,True
EMP_00169,emp_00169@company.com,Male,Divorced,2,High School,Basic,Temporary,True
EMP_00170,emp_00170@company.com,Male,Single,2,Bachelors,Standard,Permanent,True
EMP_00171,emp_00171@company.com,Female,Widowed,0,Bachelors,Basic,Permanent,True
EMP_00172,emp_00172@company.com,Male,Single,0,Bachelors,Basic,Temporary,True
EMP_00173,emp_00173@company.com,Female,Married,0,Bachelors,Basic,Temporary,True
EMP_00174,emp_00174@company.com,Female,Single,1,High School,Standard,Permanent,True
EMP_00175,emp_00175@company.com,Male,Married,1,High School,Standard,Permanent,True
EMP_00176,emp_00176@company.com,Male,Divorced,0,Bachelors,Standard,Permanent,True
EMP_00177,emp_00177@company.com,Female,Single,0,PhD,Standard,Contractor,True
EMP_00178,emp_00178@company.com,Male,Divorced,1,Bachelors,Basic,Permanent,True
EMP_00179,emp_00179@company.com,Male,Widowed,0,High School,Basic,Contractor,True
EMP_00180,emp_00180@company.com,Female,Single,2,Bachelors,Standard,Permanent,True
EMP_00181,emp_00181@company.com,Female,Married,0,High School,Basic,Permanent,True
EMP_00182,emp_00182@company.com,Male,Divorced,0,Bachelors,Basic,Permanent,True
EMP_00183,emp_00183@company.com,Female,Married,0,High School,Premium,Permanent,True
EMP_00184,emp_00184@company.com,Male,Married,0,Bachelors,Basic,Temporary,True
EMP_00185,emp_00185@company.com,Female,Married,0,Bachelors,Premium,Permanent,True
EMP_00186,emp_00186@company.com,Female,Married,0,Masters,Basic,Permanent,True
EMP_00187,emp_00187@company.com,Male,Married,0,Bachelors,Basic,Contractor,True
EMP_00188,emp_00188@company.com,Female,Widowed,2,Bachelors,Basic,Permanent,True
EMP_00189,emp_00189@company.com,Female,Single,0,High School,Basic,Permanent,True
EMP_00190,emp_00190@company.com,Male,Single,0,Masters,Standard,Permanent,True
EMP_00191,emp_00191@company.com,Female,Widowed,2,Bachelors,Premium,Permanent,True
EMP_00192,emp_00192@company.com,Other,Single,1,Bachelors,Premium,Permanent,True
EMP_00193,emp_00193@company.com,Female,Widowed,1,High School,Basic,Permanent,True
EMP_00194,emp_00194@company.com,Female,Widowed,3,Bachelors,Basic,Temporary,True
EMP_00195,emp_00195@company.com,Female,Divorced,1,Bachelors,Premium,Permanent,True
EMP_00196,emp_00196@company.com,Male,Widowed,2,PhD,Basic,Permanent,True
EMP_00197,emp_00197@company.com,Male,Widowed,1,High School,Standard,Permanent,True
EMP_00198,emp_00198@company.com,Female,Divorced,0,Bachelors,Standard,Permanent,True
EMP_00199,emp_00199@company.com,Male,Single,0,High School,Standard,Permanent,True
EMP_00200,emp_00200@company.com,Female,Widowed,2,High School,Basic,Contractor,True
EMP_00201,emp_00201@company.com,Female,Single,1,High School,Premium,Permanent,True
EMP_00202,emp_00202@company.com,Male,Married,1,High School,Standard,Permanent,True
EMP_00203,emp_00203@company.com,Female,Widowed,0,Bachelors,Basic,Permanent,True
EMP_00204,emp_00204@company.com,Female,Widowed,0,Bachelors,Basic,Permanent,True
EMP_00205,emp_00205@company.com,Female,Married,1,Bachelors,Standard,Permanent,True
EMP_00206,emp_00206@company.com,Male,Married,0,High School,Standard,Permanent,True
EMP_00207,emp_00207@company.com,Female,Divorced,2,Bachelors,Basic,Permanent,True
EMP_00208,emp_00208@company.com,Female,Married,0,High School,Premium,Permanent,True
EMP_00209,emp_00209@company.com,Male,Single,1,High School,Premium,Contractor,True
EMP_00210,emp_00210@company.com,Male,Widowed,2,High School,Basic,Permanent,True
EMP_00211,emp_00211@company.com,Male,Divorced,1,Bachelors,Basic,Permanent,True
EMP_00212,emp_00212@company.com,Female,Married,0,High School,Basic,Permanent,True
EMP_00213,emp_00213@company.com,Female,Divorced,1,Masters,Premium,Permanent,True
EMP_00214,emp_00214@company.com,Male,Divorced,0,Bachelors,Basic,Permanent,True
EMP_00215,emp_00215@company.com,Female,Divorced,1,Bachelors,Basic,Permanent,True
EMP_00216,emp_00216@company.com,Male,Single,1,Masters,Standard,Permanent,True
EMP_00217,emp_00217@company.com,Male,Married,0,Bachelors,Standard,Permanent,True
EMP_00218,emp_00218@company.com,Male,Single,1,Bachelors,Premium,Permanent,True
EMP_00219,emp_00219@company.com,Female,Divorced,1,Bachelors,Standard,Temporary,True
EMP_00220,emp_00220@company.com,Female,Married,2,Masters,Premium,Permanent,True
EMP_00221,emp_00221@company.com,Female,Divorced,0,Bachelors,Premium,Permanent,True
EMP_00222,emp_00222@company.com,Male,Single,0,Masters,Basic,Permanent,True
EMP_00223,emp_00223@company.com,Male,Widowed,4,Bachelors,Basic,Permanent,True
EMP_00224,emp_00224@company.com,Male,Married,1,High School,Standard,Permanent,True
EMP_00225,emp_00225@company.com,Female,Married,1,Bachelors,Basic,Permanent,True
EMP_00226,emp_00226@company.com,Female,Widowed,0,Bachelors,Standard,Permanent,True
EMP_00227,emp_00227@company.com,Female,Single,0,Bachelors,Basic,Permanent,True
EMP_00228,emp_00228@company.com,Female,Single,2,High School,Standard,Permanent,True
EMP_00229,emp_00229@company.com,Female,Single,3,Bachelors,Premium,Permanent,True
EMP_00230,emp_00230@company.com,Male,Married,0,High School,Standard,Permanent,True
EMP_00231,emp_00231@company.com,Female,Married,1,Bachelors,Basic,Permanent,True
EMP_00232,emp_00232@company.com,Male,Single,0,Masters,Basic,Permanent,True
EMP_00233,emp_00233@company.com,Male,Divorced,3,Masters,Standard,Permanent,True
EMP_00234,emp_00234@company.com,Female,Married,0,Masters,Standard,Permanent,True
EMP_00235,emp_00235@company.com,Female,Divorced,1,Bachelors,Standard,Permanent,True
EMP_00236,emp_00236@company.com,Female,Married,2,Bachelors,Basic,Permanent,True
EMP_00237,emp_00237@company.com,Male,Single,0,High School,Standard,Permanent,True
EMP_00238,emp_00238@company.com,Male,Widowed,1,Bachelors,Basic,Permanent,True
EMP_00239,emp_00239@company.com,Female,Widowed,1,Bachelors,Basic,Permanent,True
EMP_00240,emp_00240@company.com,Female,Widowed,0,High School,Premium,Temporary,True
EMP_00241,emp_00241@company.com,Female,Widowed,0,Bachelors,Basic,Permanent,True
EMP_00242,emp_00242@company.com,Male,Divorced,2,Bachelors,Basic,Permanent,True
EMP_00243,emp_00243@company.com,Male,Widowed,1,High School,Basic,Temporary,True
EMP_00244,emp_00244@company.com,Male,Single,2,Bachelors,Premium,Permanent,True
EMP_00245,emp_00245@company.com,Male,Divorced,3,High School,Basic,Permanent,True
EMP_00246,emp_00246@company.com,Male,Widowed,1,Masters,Basic,Contractor,True
EMP_00247,emp_00247@company.com,Female,Divorced,2,Bachelors,Basic,Contractor,True
EMP_00248,emp_00248@company.com,Male,Married,2,Bachelors,Basic,Contractor,True
EMP_00249,emp_00249@company.com,Female,Widowed,0,Bachelors,Basic,Permanent,True
EMP_00250,emp_00250@company.com,Male,Divorced,0,Bachelors,Basic,Permanent,True
EMP_00251,emp_00251@company.com,Female,Divorced,1,PhD,Premium,Permanent,True
EMP_00252,emp_00252@company.com,Male,Widowed,2,Bachelors,Standard,Permanent,True
EMP_00253,emp_00253@company.com,Female,Widowed,1,Bachelors,Basic,Permanent,True
EMP_00254,emp_00254@company.com,Male,Divorced,1,High School,Basic,Permanent,True
EMP_00255,emp_00255@company.com,Male,Widowed,2,High School,Basic,Permanent,True
EMP_00256,emp_00256@company.com,Male,Widowed,1,Bachelors,Standard,Contractor,True
EMP_00257,emp_00257@company.com,Male,Divorced,1,Bachelors,Standard,Permanent,True
EMP_00258,emp_00258@company.com,Male,Divorced,2,Masters,Basic,Permanent,True
EMP_00259,emp_00259@company.com,Male,Divorced,2,High School,Basic,Permanent,True
EMP_00260,emp_00260@company.com,Female,Widowed,0,Bachelors,Premium,Permanent,True
EMP_00261,emp_00261@company.com,Female,Widowed,0,High School,Basic,Permanent,True
EMP_00262,emp_00262@company.com,Male,Married,0,Bachelors,Basic,Permanent,True
EMP_00263,emp_00263@company.com,Female,Widowed,0,Bachelors,Basic,Temporary,True
EMP_00264,emp_00264@company.com,Female,Married,0,Masters,Premium,Permanent,True
EMP_00265,emp_00265@company.com,Male,Single,1,Bachelors,Basic,Permanent,True
EMP_00266,emp_00266@company.com,Female,Married,2,Masters,Basic,Permanent,True
EMP_00267,emp_00267@company.com,Female,Single,1,Bachelors,Basic,Permanent,True
EMP_00268,emp_00268@company.com,Male,Widowed,1,Bachelors,Basic,Contractor,True
EMP_00269,emp_00269@company.com,Female,Single,0,High School,Basic,Permanent,True
EMP_00270,emp_00270@company.com,Male,Divorced,1,Bachelors,Basic,Contractor,True
EMP_00271,emp_00271@company.com,Male,Married,0,Bachelors,Standard,Permanent,True
EMP_00272,emp_00272@company.com,Female,Married,4,Masters,Basic,Permanent,True
EMP_00273,emp_00273@company.com,Female,Widowed,4,Masters,Basic,Contractor,True
EMP_00274,emp_00274@company.com,Female,Single,1,Bachelors,Basic,Permanent,True
EMP_00275,emp_00275@company.com,Male,Married,0,High School,Standard,Permanent,True
EMP_00276,emp_00276@company.com,Male,Single,2,Bachelors,Standard,Permanent,True
EMP_00277,emp_00277@company.com,Female,Single,0,Masters,Basic,Permanent,True
EMP_00278,emp_00278@company.com,Male,Widowed,2,High School,Basic,Temporary,True
EMP_00279,emp_00279@company.com,Male,Married,4,Bachelors,Basic,Permanent,True
EMP_00280,emp_00280@company.com,Female,Widowed,0,Bachelors,Basic,Temporary,True
EMP_00281,emp_00281@company.com,Male,Married,5,High School,Standard,Permanent,True
EMP_00282,emp_00282@company.com,Female,Married,0,High School,Standard,Permanent,True
EMP_00283,emp_00283@company.com,Female,Widowed,2,Masters,Premium,Permanent,True
EMP_00284,emp_00284@company.com,Female,Widowed,1,High School,Standard,Permanent,True
EMP_00285,emp_00285@company.com,Female,Single,1,High School,Basic,Permanent,True
EMP_00286,emp_00286@company.com,Female,Divorced,0,Bachelors,Standard,Contractor,True
EMP_00287,emp_00287@company.com,Other,Divorced,0,Bachelors,Standard,Permanent,True
EMP_00288,emp_00288@company.com,Male,Widowed,3,Bachelors,Standard,Permanent,True
EMP_00289,emp_00289@company.com,Female,Divorced,0,PhD,Basic,Permanent,True
EMP_00290,emp_00290@company.com,Male,Single,0,Bachelors,Premium,Permanent,True
EMP_00291,emp_00291@company.com,Female,Single,2,Bachelors,Basic,Permanent,True
EMP_00292,emp_00292@company.com,Male,Divorced,0,Bachelors,Standard,Temporary,True
EMP_00293,emp_00293@company.com,Male,Widowed,2,High School,Basic,Permanent,True
EMP_00294,emp_00294@company.com,Male,Divorced,2,Bachelors,Standard,Permanent,True
EMP_00295,emp_00295@company.com,Female,Widowed,3,Bachelors,Premium,Temporary,True
EMP_00296,emp_00296@company.com,Female,Widowed,4,Bachelors,Standard,Temporary,True
EMP_00297,emp_00297@company.com,Male,Widowed,1,Bachelors,Basic,Permanent,True
EMP_00298,emp_00298@company.com,Female,Single,2,Bachelors,Premium,Permanent,True
EMP_00299,emp_00299@company.com,Female,Divorced,2,Masters,Basic,Permanent,True
EMP_00300,emp_00300@company.com,Male,Married,2,Bachelors,Premium,Permanent,True
EMP_00301,emp_00301@company.com,Male,Married,1,High School,Basic,Permanent,True
EMP_00302,emp_00302@company.com,Female,Divorced,0,PhD,Basic,Permanent,True
EMP_00303,emp_00303@company.com,Female,Widowed,1,Masters,Basic,Permanent,True
EMP_00304,emp_00304@company.com,Male,Single,3,High School,Basic,Permanent,True
EMP_00305,emp_00305@company.com,Male,Single,1,Bachelors,Basic,Permanent,True
EMP_00306,emp_00306@company.com,Male,Single,1,Bachelors,Basic,Permanent,True
EMP_00307,emp_00307@company.com,Female,Married,0,High School,Basic,Temporary,True
EMP_00308,emp_00308@company.com,Female,Divorced,0,High School,Basic,Contractor,True
EMP_00309,emp_00309@company.com,Male,Single,0,High School,Basic,Temporary,True
EMP_00310,emp_00310@company.com,Female,Married,0,PhD,Basic,Permanent,True
EMP_00311,emp_00311@company.com,Female,Married,1,Bachelors,Premium,Permanent,True
EMP_00312,emp_00312@company.com,Male,Married,0,High School,Basic,Temporary,True
EMP_00313,emp_00313@company.com,Female,Widowed,0,Bachelors,Premium,Permanent,True
EMP_00314,emp_00314@company.com,Female,Divorced,0,High School,Basic,Permanent,True
EMP_00315,emp_00315@company.com,Male,Single,0,Masters,Premium,Permanent,True
EMP_00316,emp_00316@company.com,Female,Married,3,Masters,Basic,Permanent,True
EMP_00317,emp_00317@company.com,Male,Single,1,Bachelors,Basic,Permanent,True
EMP_00318,emp_00318@company.com,Male,Married,1,High School,Basic,Contractor,True
EMP_00319,emp_00319@company.com,Male,Divorced,0,Bachelors,Premium,Permanent,True
EMP_00320,emp_00320@company.com,Female,Married,3,Masters,Basic,Permanent,True
EMP_00321,emp_00321@company.com,Female,Single,4,Bachelors,Basic,Permanent,True
EMP_00322,emp_00322@company.com,Female,Single,1,Bachelors,Premium,Permanent,True
EMP_00323,emp_00323@company.com,Male,Married,0,PhD,Basic,Permanent,True
EMP_00324,emp_00324@company.com,Female,Widowed,0,High School,Basic,Permanent,True
EMP_00325,emp_00325@company.com,Female,Married,0,High School,Basic,Permanent,True
EMP_00326,emp_00326@company.com,Male,Single,0,Bachelors,Premium,Permanent,True
EMP_00327,emp_00327@company.com,Male,Divorced,1,Bachelors,Standard,Permanent,True
EMP_00328,emp_00328@company.com,Other,Single,0,Masters,Premium,Permanent,True
EMP_00329,emp_00329@company.com,Female,Single,0,Bachelors,Premium,Permanent,True
EMP_00330,emp_00330@company.com,Female,Widowed,1,Bachelors,Premium,Permanent,True
EMP_00331,emp_00331@company.com,Female,Divorced,0,Masters,Basic,Permanent,True
EMP_00332,emp_00332@company.com,Male,Divorced,1,Masters,Basic,Permanent,True
EMP_00333,emp_00333@company.com,Male,Divorced,0,High School,Basic,Permanent,True
